,title,release_date,worldwide_box_office,international_box_office,domestic_box_office
246,Den' Pobedy-2018-12-14,2018-12-14,"2324,00","2324,00",
247,Dragon Ball Super: Broly-2018-01-16,2018-01-16,"122747755,00","92371000,00","30376755,00"
248,The First Time-2018-12-14,2018-12-14,"62950,00","62950,00",
249,Conversazioni Atomiche-2018-12-14,2018-12-14,"2116,00","2116,00",
250,Da xiang xi di er zuo-2018-03-08,2018-03-08,"14702,00","14702,00",
251,Spindl-2017-12-22,2017-12-22,"2277204,00","2277204,00",
252,Sakka Podu Podu Raja-2017-12-22,2017-12-22,"1944,00","1944,00",
253,Romans-2017-12-22,2017-12-22,"2741,00","2741,00",
254,Chun Tian De Ma La Song-2018-12-14,2018-12-14,"1371255,00","1371255,00",
255,Rangreza-2017-12-22,2017-12-22,"56979,00","56979,00",
256,Seven Fright Nights-2017-12-22,2017-12-22,"94532,00","94532,00",
257,La promesse de l'aube-2017-12-22,2017-12-22,"9181824,00","9181824,00",
258,Muumien joulu-2017-12-22,2017-12-22,"515414,00","515414,00",
259,The Post-2017-12-22,2017-12-22,"179769457,00","97865999,00","81903458,00"
260,QuizÃƒÂ¡s hoy-2017-12-22,2017-12-22,"282,00","282,00",
261,Mult v Kino: Vypusk No. 65-2017-12-22,2017-12-22,"56677,00","56677,00",
262,Miseinen dakedo kodomo janai-2017-12-22,2017-12-22,"5146046,00","5146046,00",
263,MollyÃ¢â‚¬â„¢s Game-2017-12-25,2017-12-25,"53296424,00","24515680,00","28780744,00"
264,Lesa Humanitat-2017-12-22,2017-12-22,"2216,00","2216,00",
265,MartÃ„Â±larÃ„Â±n Efendisi-2017-12-22,2017-12-22,"199953,00","199953,00",
266,Hotel Infierno-2017-12-22,2017-12-22,"3784,00","3784,00",
267,Huisvrouwen Bestaan Niet-2017-12-22,2017-12-22,"3239032,00","3239032,00",
268,Jing hun qi you-2017-12-22,2017-12-22,"114402,00","114402,00",
269,Hostiles-2017-12-22,2017-12-22,"36976336,00","7157222,00","29819114,00"
270,Hello-2017-12-22,2017-12-22,"4394131,00","4394131,00",
271,Gordon & Paddy-2017-12-22,2017-12-22,"96264,00","96264,00",
272,Garde alternÃƒÂ©e-2017-12-22,2017-12-22,"3907930,00","3907930,00",
273,DÃƒÂ¼s Kirginlari-2017-12-22,2017-12-22,"2510,00","2510,00",
274,The CBeebies Christmas Show: Thumbelina-2018-12-14,2018-12-14,"274407,00","274407,00",
275,Father Figures-2017-12-22,2017-12-22,"21038441,00","3537197,00","17501244,00"
276,Bon Bini Holland 2-2018-12-14,2018-12-14,"8664726,00","8664726,00",
277,Beyond White Space-2018-12-14,2018-12-14,,,
278,Bana Bir Soygun Yaz 2-2018-12-14,2018-12-14,"182040,00","182040,00",
279,Bhajjo Veero Ve-2018-12-14,2018-12-14,"103289,00","103289,00",
280,Hangman-2017-12-22,2017-12-22,"104503,00","104503,00",
281,Antidote-2018-12-14,2018-12-14,,,
282,Andre Rieu's Sydney Town Hall Concert - An Australian Celebration-2018-12-14,2018-12-14,"2806603,00","2806603,00",
283,Singsu-2018-12-13,2018-12-13,,,
284,Maine-2018-12-13,2018-12-13,,,
285,Why Are We Creative: The Centipede's Dilemma-2018-12-13,2018-12-13,"95567,00","95567,00",
286,Il Testimone Invisibile-2018-12-13,2018-12-13,"6750631,00","6750631,00",
287,AÃ…Å¸k Bu mu?-2018-12-14,2018-12-14,"60183,00","60183,00",
288,Khrustal-2018-12-13,2018-12-13,"63603,00","63603,00",
289,Owarani hito Miyazaki: Hayao-2018-12-13,2018-12-13,,,"187320,00"
290,Bumblebee-2018-12-21,2018-12-21,"465195589,00","338000000,00","127195589,00"
291,Bird Box-2018-12-13,2018-12-13,,,
292,Un beau voyou-2018-12-13,2018-12-13,"501368,00","501368,00",
293,The Photographer-2018-12-12,2018-12-12,"3042381,00","3042381,00",
294,Spider-Man: Into The Spider-Verse 3D-2018-12-14,2018-12-14,"375084923,00","184911728,00","190173195,00"
295,Roma-2018-11-21,2018-11-21,"1109544,00","1109544,00",
296,The Gaelic Curse-2018-12-12,2018-12-12,,,
297,Pachamama-2018-12-12,2018-12-12,"1866211,00","1866211,00",
298,RÃƒÂ©mi sans famille-2018-12-12,2018-12-12,"7395953,00","7395953,00",
299,Deadman Standing-2018-12-11,2018-12-11,,,
300,Dawning-2018-12-11,2018-12-11,"16504,00","16504,00",
301,Dr. Huang Danian-2018-12-12,2018-12-12,"1420000,00","1420000,00",
302,Downsizing-2017-12-22,2017-12-22,"54462971,00","30013217,00","24449754,00"
