year;release_date;title;international_box_office;domestic_box_office;worldwide_box_office
2017;December 22nd;Hangman;104503,00;n/a;104503,00
2018;December 14th;Antidote;;n/a;
2018;December 14th;Andre Rieu's Sydney Town Hall Concert - An Australian Celebration;2806603,00;n/a;2806603,00
2018;December 13th;Singsu;;n/a;
2018;December 13th;Maine;;n/a;
2018;December 13th;Why Are We Creative: The Centipede's Dilemma;95567,00;n/a;95567,00
2018;December 13th;Il Testimone Invisibile;6750631,00;n/a;6750631,00
2018;December 14th;AÃ…Å¸k Bu mu?;60183,00;n/a;60183,00
2018;December 13th;Khrustal;63603,00;n/a;63603,00
2018;December 13th;Owarani hito Miyazaki: Hayao;;187320,00;
2018;December 21st;Bumblebee;338000000,00;127195589,00;465195589,00
2018;December 13th;Bird Box;;n/a;
2018;December 13th;Un beau voyou;501368,00;n/a;501368,00
2018;December 12th;The Photographer;3042381,00;n/a;3042381,00
2018;December 14th;Spider-Man: Into The Spider-Verse 3D;184911728,00;190173195,00;375084923,00
2018;November 21st;Roma;1109544,00;n/a;1109544,00
2018;December 12th;The Gaelic Curse;;n/a;
2018;December 12th;Pachamama;1866211,00;n/a;1866211,00
2018;December 12th;RÃƒÂ©mi sans famille;7395953,00;n/a;7395953,00
2018;December 11th;Deadman Standing;;n/a;
2018;December 11th;Dawning;16504,00;n/a;16504,00
2018;December 12th;Dr. Huang Danian;1420000,00;n/a;1420000,00
2017;December 22nd;Downsizing;30013217,00;24449754,00;54462971,00
2017;December 22nd;Doctor Who: Twice Upon A Time;223498,00;n/a;223498,00
2017;December 22nd;Cuando los Hijos Regresan;2906566,00;n/a;2906566,00
2017;December 22nd;BelalÃ„Â±lar;257,00;n/a;257,00
2017;December 22nd;Arth: The Destination;13503,00;n/a;13503,00
2017;December 22nd;Before I Die;35841,00;n/a;35841,00
2017;December 22nd;AcÃ„Â± TatlÃ„Â± EkÃ…Å¸i;1957225,00;n/a;1957225,00
2017;December 22nd;Aadu 2;4273904,00;n/a;4273904,00
2017;December 21st;The Lucky Man;;25015,00;
2017;December 22nd;Pitch Perfect 3;80838882,00;104897530,00;185736412,00
2017;December 21st;Masterpiece;2787298,00;n/a;2787298,00
2017;December 21st;Mca: Middle Class Abbayi;9939186,00;n/a;9939186,00
2017;July 6th;Ji Qi Zhi Xue;47872755,00;n/a;47872755,00
2017;December 21st;Xin Li Zui Zhi Cheng Shi Zhi Guang;35045171,00;n/a;35045171,00
2017;January 5th;Namiya;35288134,00;39584,00;35327718,00
2017;December 20th;Jumanji: Welcome to the Jungle;557104283,00;404508916,00;961613199,00
2017;December 15th;El Zoco de la Buri Buri;467,00;n/a;467,00
2017;December 15th;YÃƒÂ´kai Watch 4;18395457,00;n/a;18395457,00
2017;December 21st;Dieses bescheuerte Herz;20096261,00;n/a;20096261,00
2017;December 15th;Das Versprechen;;n/a;
2017;December 15th;Unexpectedly Yours;45997,00;n/a;45997,00
2017;December 15th;Super Vacanze di Natale;464275,00;n/a;464275,00
2017;December 20th;Holiday Inn: The New Irving Berlin Musical;14312,00;n/a;14312,00
2018;December 8th;Buttons;;n/a;
2018;December 7th;Yuan Qu De Mu Ge;1440000,00;n/a;1440000,00
2018;December 7th;Subrahmanyapuram;1167,00;n/a;1167,00
2018;December 7th;Son Ãƒâ€¡Ã„Â±kÃ„Â±Ã…Å¸;3308,00;n/a;3308,00
2018;December 7th;The Snowman and the Snowdog;51844,00;n/a;51844,00
2018;December 7th;Vox Lux;556862,00;727119,00;1283981,00
2018;December 8th;Mult v. Kino Vypusk No. 86;101015,00;n/a;101015,00
2018;December 21st;Second Act;24006627,00;39282227,00;63288854,00
2018;December 7th;El Rey;48259,00;n/a;48259,00
2018;December 7th;Ã…Å¾eytan GeÃƒÂ§idi Enhara;12210,00;n/a;12210,00
2018;July 26th;Pupille;6826186,00;1737,00;6827923,00
2018;December 7th;Racetime;1291454,00;n/a;1291454,00
2018;December 7th;Por amor al arte;336,00;n/a;336,00
2018;December 11th;A Christmas Carol;441322,00;n/a;441322,00
2018;December 7th;Parque Mayer;250365,00;n/a;250365,00
2018;December 7th;ParanÃ„Â±n Kokusu;287,00;n/a;287,00
2018;January 11th;Norm of the North: Keys to the Kingdom;1091551,00;n/a;1091551,00
2018;December 7th;The PartyÃ¢â‚¬â„¢s Just Beginning;226,00;4145,00;4371,00
2018;December 7th;Ruleta Rusa;13752,00;n/a;13752,00
2018;December 7th;Mountain Rest;;n/a;
2017;December 15th;Sundowners;;n/a;
2018;December 7th;Mi PequeÃƒÂ±o Gran Hombre;1529896,00;n/a;1529896,00
2017;December 15th;Poyraz Karayel: KÃƒÂ¼resel Sermaye;54455,00;n/a;54455,00
2017;December 15th;Permanent;;12847,00;
2017;December 15th;Papita 2da Base;41950000,00;n/a;41950000,00
2017;December 15th;Poveri ma Ricchissimi;7396878,00;n/a;7396878,00
2017;December 15th;Pescadores;645,00;n/a;645,00
2017;December 15th;Old Beast;311678,00;n/a;311678,00
2017;December 15th;NiÃƒÂ±a Perro;505,00;n/a;505,00
2017;December 15th;Novogodniy Perepolokh;952127,00;n/a;952127,00
2017;December 15th;Natale da Chef;3270987,00;n/a;3270987,00
2017;December 15th;Monsoon Shootout;93721,00;n/a;93721,00
2017;January 19th;The Midnight Man;2526184,00;n/a;2526184,00
2017;December 15th;Muchos Hijos, un Mono y un Castillo;643281,00;n/a;643281,00
2017;December 15th;Masoch, El camino del perro;408,00;n/a;408,00
2017;November 2nd;Maria by Callas;1530974,00;1264409,00;2795383,00
2017;December 15th;Journey Of Bhangover;1760,00;n/a;1760,00
2017;December 15th;Hard Kaur;3162,00;n/a;3162,00
2018;December 7th;Nona;;n/a;
2017;December 15th;K3 Love Cruise;1081993,00;n/a;1081993,00
2017;December 15th;Game Of Ayodhya;5152,00;n/a;5152,00
2017;January 11th;DrÃƒÂ´les de petites bÃƒÂªtes;14163162,00;n/a;14163162,00
2017;December 15th;Papatya;2057,00;n/a;2057,00
2017;December 15th;Ek Andekha Sach;1992,00;n/a;1992,00
2018;December 7th;Merry Men: The Real Yoruba Demons;4315,00;n/a;4315,00
2018;December 7th;Love Live! Sunshine!! Aqours 4th Lovelive! Sailing To The Sunshine;13640,00;n/a;13640,00
2018;December 7th;Mary Queen of Scots;30371647,00;16648499,00;47020146,00
2018;December 7th;Ma mÃƒÂ¨re est folle;447679,00;n/a;447679,00
2018;December 7th;Left Hand and Right Hand;3346,00;n/a;3346,00
2018;December 7th;Love Afterlife;36540,00;n/a;36540,00
2018;December 7th;La Scala: Attila;33873,00;n/a;33873,00
2018;December 7th;La ÃƒÂºltima bÃƒÂºsqueda;773,00;n/a;773,00
2018;December 7th;Kafalar KarÃ„Â±Ã…Å¸Ã„Â±k;1979548,00;n/a;1979548,00
2018;December 7th;Kuru;5041160,00;n/a;5041160,00
2018;December 7th;Kedarnath;293850,00;893582,00;1187432,00
2018;December 7th;Hospitality;;n/a;
2018;December 7th;Frank and Ava;;18829,00;
2018;December 7th;Jin Ji De Nan Hai;65446,00;n/a;65446,00
2018;December 7th;Gekijoban Haikara san-ga Toru Zenpen Tokyo Dai Roman;;n/a;
2018;December 7th;Eso Que Nos Enamora;4650,00;n/a;4650,00
2018;December 7th;Eia jÃƒÂµulud Tondikakul;;n/a;
2018;December 7th;Elephants;;n/a;
2018;December 7th;El Dulce sabor del limon;349,00;n/a;349,00
2018;December 7th;DumplinÃ¢â‚¬â„¢;399198,00;n/a;399198,00
2017;December 15th;Devushka s kosoy;47374,00;n/a;47374,00
2018;December 7th;Drug$;;n/a;
2017;December 15th;La deuxiÃƒÂ¨me ÃƒÂ©toile;3320313,00;n/a;3320313,00
2017;December 15th;Los Desheredados;902,00;n/a;902,00
2017;December 15th;Desolation;;n/a;
2017;December 15th;Blizkie;2043,00;n/a;2043,00
2017;December 15th;The Ballad of Lefty Brown;;7856,00;
2017;December 15th;The Chainbreakers;282320,00;n/a;282320,00
2017;December 15th;8-nengoshi no hanayome;24326715,00;n/a;24326715,00
2017;December 14th;Instant Dreams;;n/a;
2017;December 15th;Algo FayÃƒÂ³;1190,00;n/a;1190,00
